"AIRPORT","PHASE","RANGE_NM","SECTOR","SECTOR_LABEL","SECTOR_SEQ","BEARING_FROM","BEARING_TO"
"LGAV","ARR",40,"BRG285-025","ARR BRG285-025",5,285,25
"LGAV","ARR",100,"BRG035-090","ARR BRG035-090",1,35,90
"LGAV","ARR",100,"BRG090-225","ARR BRG090-225",2,90,225
"LGAV","ARR",100,"BRG225-300","ARR BRG225-300",3,225,300
"LGAV","ARR",100,"BRG300-035","ARR BRG300-035",4,300,35
"LIRF","ARR",40,"BRG040-170","ARR BRG040-170",1,40,170
"LIRF","ARR",40,"BRG170-285","ARR BRG170-285",2,170,285
"LIRF","ARR",40,"BRG285-345","ARR BRG285-345",3,285,345
"LIRF","ARR",40,"BRG345-040","ARR BRG345-040",4,345,40
"LIRF","ARR",100,"BRG040-080","ARR BRG040-080",1,40,80
"LIRF","ARR",100,"BRG080-205","ARR BRG080-205",2,80,205
"LIRF","ARR",100,"BRG205-280","ARR BRG205-280",3,205,280
"LIRF","ARR",100,"BRG280-340","ARR BRG280-340",4,280,340
"LIRF","ARR",100,"BRG340-040","ARR BRG340-040",5,340,40
"LSZH","ARR",40,"BRG035-115","ARR BRG035-115",1,35,115
"LSZH","ARR",40,"BRG115-195","ARR BRG115-195",2,115,195
"LSZH","ARR",40,"BRG195-255","ARR BRG195-255",3,195,255
"LSZH","ARR",40,"BRG255-320","ARR BRG255-320",4,255,320
"LSZH","ARR",40,"BRG320-035","ARR BRG320-035",5,320,35
"LSZH","ARR",100,"BRG050-120","ARR BRG050-120",1,50,120
"LSZH","ARR",100,"BRG120-195","ARR BRG120-195",2,120,195
"LSZH","ARR",100,"BRG195-260","ARR BRG195-260",3,195,260
"LSZH","ARR",100,"BRG260-335","ARR BRG260-335",4,260,335
"LSZH","ARR",100,"BRG335-050","ARR BRG335-050",5,335,50
"LTFM","ARR",40,"BRG030-090","ARR BRG030-090",1,30,90
"LTFM","ARR",40,"BRG090-190","ARR BRG090-190",2,90,190
"LTFM","ARR",40,"BRG190-330","ARR BRG190-330",3,190,330
"LTFM","ARR",40,"BRG330-030","ARR BRG330-030",4,330,30
"LTFM","ARR",100,"BRG030-130","ARR BRG030-130",1,30,130
"LTFM","ARR",100,"BRG130-185","ARR BRG130-185",2,130,185
"LTFM","ARR",100,"BRG185-320","ARR BRG185-320",3,185,320
"LTFM","ARR",100,"BRG320-030","ARR BRG320-030",4,320,30
